Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
09/06/2012 01:18:25	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\ConsoleAppAids\bin\Debug\ConsoleAppAids.dll	WizardWrx ConsoleAppAids	WizardWrx.ConsoleAppAids	1.0.1.552	09/06/2012 01:18:25	09/06/2012 06:18:25	5120
09/06/2012 01:20:50	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\ConsoleAppAids\bin\Release\ConsoleAppAids.dll	WizardWrx ConsoleAppAids	WizardWrx.ConsoleAppAids	1.0.2.624	09/06/2012 01:20:50	09/06/2012 06:20:50	5120
09/06/2012 01:29:44	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\ConsoleAppAids\bin\Debug\WizardWrx.ConsoleAppAids.dll	WizardWrx ConsoleAppAids	WizardWrx.ConsoleAppAids	1.0.3.891	09/06/2012 01:29:43	09/06/2012 06:29:43	5120
09/06/2012 01:33:54	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\ConsoleAppAids\bin\Debug\WizardWrx.ConsoleAppAids.dll	WizardWrx ConsoleAppAids	WizardWrx.ConsoleAppAids	1.0.4.1016	09/06/2012 01:33:53	09/06/2012 06:33:53	5120
09/06/2012 01:34:36	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\ConsoleAppAids\bin\Release\WizardWrx.ConsoleAppAids.dll	WizardWrx ConsoleAppAids	WizardWrx.ConsoleAppAids	1.0.5.1037	09/06/2012 01:34:35	09/06/2012 06:34:35	5120
09/16/2012 23:46:42	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\ConsoleAppAids\bin\Release\WizardWrx.ConsoleAppAids.dll	WizardWrx ConsoleAppAids	WizardWrx.ConsoleAppAids	3.1.7.41000	09/16/2012 23:46:41	09/17/2012 04:46:41	9728
01/07/2014 01:07:28	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\ConsoleAppAids\bin\Debug\WizardWrx.ConsoleAppAids.dll	WizardWrx ConsoleAppAids	WizardWrx.ConsoleAppAids	3.2.8.2023	01/07/2014 01:07:28	01/07/2014 07:07:28	12800
01/07/2014 01:44:21	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\ConsoleAppAids\bin\Debug\WizardWrx.ConsoleAppAids.dll	WizardWrx ConsoleAppAids	WizardWrx.ConsoleAppAids	3.2.12.3130	01/07/2014 01:44:21	01/07/2014 07:44:21	16384
01/07/2014 01:46:24	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\ConsoleAppAids\bin\Debug\WizardWrx.ConsoleAppAids.dll	WizardWrx ConsoleAppAids	WizardWrx.ConsoleAppAids	3.2.13.3192	01/07/2014 01:46:24	01/07/2014 07:46:24	16384
01/07/2014 01:48:38	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\ConsoleAppAids\bin\Debug\WizardWrx.ConsoleAppAids.dll	WizardWrx ConsoleAppAids	WizardWrx.ConsoleAppAids	3.2.14.3258	01/07/2014 01:48:38	01/07/2014 07:48:38	16384
