Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
09/03/2012 12:03:18	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ApplicationHelpers\EOJTEST\bin\Release\EOJTEST.exe	WizardWrx ApplicationHelpers Library	EOJTEST	2.6.0.19899	09/03/2012 12:03:18	09/03/2012 17:03:18	16384
09/03/2012 13:14:05	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ApplicationHelpers\EOJTEST\bin\Release\EOJTEST.exe	WizardWrx ApplicationHelpers Library	EOJTEST	2.6.1.22022	09/03/2012 13:14:05	09/03/2012 18:14:05	16896
09/03/2012 13:14:51	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ApplicationHelpers\EOJTEST\bin\Release\EOJTEST.exe	WizardWrx ApplicationHelpers Library	EOJTEST	2.6.2.22045	09/03/2012 13:14:50	09/03/2012 18:14:50	16896
09/03/2012 13:15:59	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ApplicationHelpers\EOJTEST\bin\Release\EOJTEST.exe	WizardWrx ApplicationHelpers Library	EOJTEST	2.6.3.22079	09/03/2012 13:15:59	09/03/2012 18:15:59	16896
09/03/2012 14:18:51	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ApplicationHelpers\EOJTEST\bin\Release\EOJTEST.exe	WizardWrx ApplicationHelpers Library	EOJTEST	2.6.5.23965	09/03/2012 14:18:51	09/03/2012 19:18:51	16896
09/03/2012 16:04:32	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ApplicationHelpers\EOJTEST\bin\Release\EOJTEST.exe	WizardWrx ApplicationHelpers Library	EOJTEST	2.6.7.27134	09/03/2012 16:04:30	09/03/2012 21:04:30	16896
09/03/2012 23:16:35	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ApplicationHelpers\EOJTEST\bin\Release\EOJTEST.exe	WizardWrx ApplicationHelpers Library	EOJTEST	2.6.8.40095	09/03/2012 23:16:32	09/04/2012 04:16:32	18944
09/03/2012 23:18:48	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ApplicationHelpers\EOJTEST\bin\Release\EOJTEST.exe	WizardWrx ApplicationHelpers Library	EOJTEST	2.6.9.40164	09/03/2012 23:18:48	09/04/2012 04:18:48	19456
09/03/2012 23:20:35	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ApplicationHelpers\EOJTEST\bin\Release\EOJTEST.exe	WizardWrx ApplicationHelpers Library	EOJTEST	2.6.10.40217	09/03/2012 23:20:35	09/04/2012 04:20:35	19456
09/03/2012 23:37:23	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ApplicationHelpers\EOJTEST\bin\Release\EOJTEST.exe	WizardWrx ApplicationHelpers Library	EOJTEST	2.6.11.40721	09/03/2012 23:37:22	09/04/2012 04:37:22	19456
