Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
01/11/2014 10:12:49	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\TestStand\bin\Debug\TestStand.exe	WizardWrx ConsoleAppAids	ConsoleAppAids TestStand	3.2.1.18383	01/11/2014 10:12:48	01/11/2014 16:12:48	20480
01/11/2014 10:17:28	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\TestStand\bin\Debug\TestStand.exe	WizardWrx ConsoleAppAids	ConsoleAppAids TestStand	3.2.2.18523	01/11/2014 10:17:27	01/11/2014 16:17:27	20480
01/11/2014 10:24:09	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\TestStand\bin\Debug\TestStand.exe	WizardWrx ConsoleAppAids	ConsoleAppAids TestStand	3.2.3.18724	01/11/2014 10:24:08	01/11/2014 16:24:08	20480
01/11/2014 10:25:33	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\TestStand\bin\Debug\TestStand.exe	WizardWrx ConsoleAppAids	ConsoleAppAids TestStand	3.2.4.18766	01/11/2014 10:25:33	01/11/2014 16:25:33	20480
01/11/2014 10:39:16	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\TestStand\bin\Debug\TestStand.exe	WizardWrx ConsoleAppAids	ConsoleAppAids TestStand	3.2.5.19177	01/11/2014 10:39:15	01/11/2014 16:39:15	20480
01/11/2014 13:47:45	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\TestStand\bin\Debug\TestStand.exe	WizardWrx ConsoleAppAids	ConsoleAppAids TestStand	3.2.6.24832	01/11/2014 13:47:44	01/11/2014 19:47:44	20480
01/11/2014 14:03:23	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\TestStand\bin\Debug\TestStand.exe	WizardWrx ConsoleAppAids	ConsoleAppAids TestStand	3.2.7.25301	01/11/2014 14:03:23	01/11/2014 20:03:23	20480
01/11/2014 17:35:15	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\TestStand\bin\Debug\TestStand.exe	WizardWrx ConsoleAppAids	ConsoleAppAids TestStand	3.2.9.31657	01/11/2014 17:35:14	01/11/2014 23:35:14	23552
01/11/2014 17:50:37	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\TestStand\bin\Debug\TestStand.exe	WizardWrx ConsoleAppAids	ConsoleAppAids TestStand	3.2.10.32118	01/11/2014 17:50:37	01/11/2014 23:50:37	23552
01/11/2014 18:00:06	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\TestStand\bin\Debug\TestStand.exe	WizardWrx ConsoleAppAids	ConsoleAppAids TestStand	3.2.11.32402	01/11/2014 18:00:05	01/12/2014 00:00:05	23552
01/11/2014 19:16:13	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\TestStand\bin\Debug\TestStand.exe	WizardWrx ConsoleAppAids	ConsoleAppAids TestStand	3.2.12.34686	01/11/2014 19:16:13	01/12/2014 01:16:13	23552
01/11/2014 19:19:20	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\TestStand\bin\Debug\TestStand.exe	WizardWrx ConsoleAppAids	ConsoleAppAids TestStand	3.2.13.34780	01/11/2014 19:19:20	01/12/2014 01:19:20	23552
01/11/2014 19:26:50	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\ConsoleAppAids\TestStand\bin\Debug\TestStand.exe	WizardWrx ConsoleAppAids	ConsoleAppAids TestStand	3.2.14.35004	01/11/2014 19:26:49	01/12/2014 01:26:49	23552
